,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
226,1515196800,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,direct,,2018-01-06
227,1515283200,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,direct,,2018-01-07
228,1515369600,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,direct,,2018-01-08
229,1515456000,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,direct,,2018-01-09
230,1515542400,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,direct,,2018-01-10
231,1515628800,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,direct,,2018-01-11
232,1515715200,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,direct,,2018-01-12
233,1515801600,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,direct,,2018-01-13
234,1515888000,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,direct,,2018-01-14
235,1515974400,14355.82,13416.71,13638.63,84089.84,1170462750.59,13631.98,direct,,2018-01-15
236,1516060800,13648.84,10032.69,13634.6,325702.79,3842651741.45,11282.49,direct,,2018-01-16
237,1516147200,11736.3,9205.38,11282.49,348631.94,3666978316.26,11162.7,direct,,2018-01-17
238,1516233600,12018.43,10642.33,11162.7,204918.02,2357251805.09,11175.52,direct,,2018-01-18
239,1516320000,11780.49,10867.18,11175.52,110885.87,1264875700.45,11521.76,direct,,2018-01-19
240,1516406400,13031.04,11502.11,11521.82,119084.84,1492721765.44,12783.94,direct,,2018-01-20
241,1516492800,12787.35,11101.73,12783.54,130427.64,1552755289.93,11549.93,direct,,2018-01-21
242,1516579200,11913.74,10067.76,11549.98,165723.08,1811992345.95,10814.52,direct,,2018-01-22
243,1516665600,11388.52,9980.5,10814.52,158868.59,1710180828.64,10858.23,direct,,2018-01-23
244,1516752000,11531.6,10506.55,10853.78,115804.82,1286435482.05,11429.02,direct,,2018-01-24
245,1516838400,11741.92,10930.34,11428.11,93317.76,1061064251.44,11175.87,direct,,2018-01-25
246,1516924800,11656.54,10346.86,11175.87,142350.84,1560135332.27,11104.2,direct,,2018-01-26
247,1517011200,11638.69,10879.2,11104.34,90873.81,1031091633.68,11459.71,direct,,2018-01-27
248,1517097600,12064.19,11407.94,11460.39,87917.22,1038153169.8,11767.74,direct,,2018-01-28
249,1517184000,11860.29,11089.52,11767.74,80713.7,920836244.04,11233.95,direct,,2018-01-29
250,1517270400,11263.7,9871.21,11234.32,164072.93,1720894077.2,10107.26,direct,,2018-01-30
251,1517356800,10377.96,9698.13,10107.4,122260.49,1230902973.11,10226.86,direct,,2018-01-31
252,1517443200,10280.84,8726.95,10226.86,208918.8,1964308989.29,9114.72,direct,,2018-02-01
253,1517529600,9147.93,7786.2,9114.73,322596.22,2768759876.15,8870.82,direct,,2018-02-02
254,1517616000,9504.37,8194.68,8872.87,139226.07,1253484523.4,9251.27,direct,,2018-02-03
255,1517702400,9400.99,7889.83,9251.27,164609.06,1413207410.82,8218.05,direct,,2018-02-04
256,1517788800,8391.29,6627.31,8218.05,341828.54,2534149181.03,6937.08,direct,,2018-02-05
257,1517875200,7932.38,5968.36,6936.43,495883.24,3397596513.74,7701.25,direct,,2018-02-06
258,1517961600,8572.68,7208.86,7701.25,271450.37,2159765331.36,7592.72,direct,,2018-02-07
259,1518048000,8643.94,7590.48,7593.78,193040.33,1594673973.51,8260.69,direct,,2018-02-08
260,1518134400,8743.2,7775.36,8259.26,162279.68,1348072086.15,8696.83,direct,,2018-02-09
261,1518220800,9081.49,8176.25,8696.83,155616.78,1348923336.33,8569.29,direct,,2018-02-10
262,1518307200,8573.35,7862.31,8569.32,123293.84,1013771945.88,8084.61,direct,,2018-02-11
263,1518393600,8997.34,8084.41,8084.61,124923.98,1085921871.17,8911.27,direct,,2018-02-12
264,1518480000,8955.15,8379.35,8911.17,98632.88,853320352.71,8544.69,direct,,2018-02-13
265,1518566400,9508.22,8542.98,8544.69,133702.54,1220863360.18,9485.64,direct,,2018-02-14
266,1518652800,10223.58,9363.38,9485.64,168776.78,1666668487.88,10033.75,direct,,2018-02-15
267,1518739200,10303.14,9720.38,10033.75,105556.67,1061827697.26,10188.73,direct,,2018-02-16
268,1518825600,11119.45,10074.07,10188.73,123660.48,1327921168.02,11097.21,direct,,2018-02-17
269,1518912000,11288.34,10161.01,11097.21,154431.22,1659704217.34,10417.23,direct,,2018-02-18
270,1518998400,11265.96,10336.32,10418.12,108244.29,1186535653.61,11182.28,direct,,2018-02-19
271,1519084800,11802.23,11130.95,11182.28,142449.23,1640343867.77,11256.43,direct,,2018-02-20
272,1519171200,11295.58,10256.21,11256.78,183274.25,1982721124.63,10481.66,direct,,2018-02-21
273,1519257600,10941.57,9757.19,10481.66,175506.26,1795951829.82,9847.96,direct,,2018-02-22
274,1519344000,10420.67,9604.0,9847.96,139373.76,1399448203.16,10175.51,direct,,2018-02-23
275,1519430400,10528.0,9396.54,10175.51,125269.68,1244484468.57,9705.73,direct,,2018-02-24
276,1519516800,9873.79,9329.44,9705.73,82430.45,793093192.66,9610.11,direct,,2018-02-25
277,1519603200,10457.51,9411.82,9610.11,117416.47,1181729273.47,10326.5,direct,,2018-02-26
278,1519689600,10879.38,10154.24,10326.5,99772.39,1060840699.02,10594.76,direct,,2018-02-27
279,1519776000,11067.76,10303.14,10594.76,105434.79,1126074675.67,10334.44,direct,,2018-02-28
280,1519862400,11090.3,10247.56,10334.44,88432.44,952472120.03,10929.37,direct,,2018-03-01
281,1519948800,11191.94,10801.45,10929.37,77195.49,852908489.64,11043.12,direct,,2018-03-02
282,1520035200,11530.66,11043.12,11043.12,71279.36,812200126.22,11465.36,direct,,2018-03-03
283,1520121600,11539.79,11084.01,11465.36,61016.39,690727335.55,11504.42,direct,,2018-03-04
284,1520208000,11694.15,11431.55,11503.94,68323.51,791471905.1,11440.73,direct,,2018-03-05
285,1520294400,11441.65,10589.28,11440.33,109876.55,1210081181.36,10735.45,direct,,2018-03-06
286,1520380800,10913.7,9470.73,10735.45,183060.08,1858869115.0,9928.56,direct,,2018-03-07
287,1520467200,10119.21,9086.85,9928.56,154879.22,1492236089.97,9316.72,direct,,2018-03-08
288,1520553600,9433.38,8393.45,9316.77,233598.15,2081621422.7,9252.76,direct,,2018-03-09
289,1520640000,9518.62,8727.43,9252.76,117409.38,1084925795.69,8797.27,direct,,2018-03-10
290,1520726400,9735.64,8484.32,8797.27,149877.66,1374814644.2,9544.84,direct,,2018-03-11
291,1520812800,9907.41,8796.52,9543.98,152959.8,1435404200.39,9142.15,direct,,2018-03-12
292,1520899200,9486.12,8856.65,9142.27,133768.47,1228556284.3,9160.12,direct,,2018-03-13
293,1520985600,9360.66,7966.94,9160.12,161775.05,1385572511.72,8217.7,direct,,2018-03-14
294,1521072000,8432.12,7698.47,8216.22,187365.71,1519850464.55,8268.41,direct,,2018-03-15
295,1521158400,8616.63,7924.11,8267.95,129688.11,1082790136.53,8283.23,direct,,2018-03-16
296,1521244800,8360.64,7765.41,8283.23,111641.32,901939422.97,7883.45,direct,,2018-03-17
297,1521331200,8299.86,7318.46,7882.67,198796.34,1535519444.95,8215.4,direct,,2018-03-18
298,1521417600,8725.6,8129.66,8215.5,171829.52,1447812723.08,8623.14,direct,,2018-03-19
299,1521504000,9056.23,8339.8,8623.14,131959.66,1150462439.42,8920.71,direct,,2018-03-20
300,1521590400,9184.51,8778.69,8920.53,109985.22,991376396.96,8911.35,direct,,2018-03-21
301,1521676800,9107.0,8500.88,8911.37,116522.98,1023286566.15,8724.98,direct,,2018-03-22
302,1521763200,8935.88,8307.58,8724.98,109649.39,939997284.45,8934.8,direct,,2018-03-23
303,1521849600,9036.23,8515.53,8935.51,93296.24,827663165.33,8548.06,direct,,2018-03-24
304,1521936000,8690.36,8395.85,8548.39,76775.64,657643520.26,8472.84,direct,,2018-03-25
305,1522022400,8521.04,7869.27,8472.56,131859.97,1079038734.78,8152.2,direct,,2018-03-26
306,1522108800,8226.24,7752.3,8152.18,116523.1,930754990.52,7808.48,direct,,2018-03-27
307,1522195200,8117.79,7752.6,7808.42,82590.62,657712114.92,7959.78,direct,,2018-03-28
308,1522281600,7983.77,6927.11,7959.78,185805.88,1379180030.3,7106.62,direct,,2018-03-29
309,1522368000,7280.27,6595.26,7106.62,229837.79,1584675343.21,6853.76,direct,,2018-03-30
310,1522454400,7228.4,6806.34,6853.75,129526.48,915400590.57,6943.77,direct,,2018-03-31
311,1522540800,7056.22,6463.54,6943.77,131344.01,889887684.72,6835.84,direct,,2018-04-01
312,1522627200,8218.66,6792.3,6835.58,106513.22,748861435.14,7074.6,direct,,2018-04-02
313,1522713600,7528.97,7039.88,7074.65,122807.02,905326798.64,7434.3,direct,,2018-04-03
314,1522800000,7442.42,6727.09,7434.3,123910.33,877199782.17,6815.5,direct,,2018-04-04
315,1522886400,6933.66,6602.38,6815.5,114426.84,777145174.76,6790.45,direct,,2018-04-05
316,1522972800,6869.53,6526.67,6790.45,90749.16,605651287.47,6634.86,direct,,2018-04-06
317,1523059200,7083.85,6624.47,6634.86,81312.77,564883141.53,6917.2,direct,,2018-04-07
318,1523145600,7132.03,6911.02,6917.2,60386.23,425825572.09,7049.92,direct,,2018-04-08
319,1523232000,7204.28,6633.69,7049.92,130534.03,901883664.92,6789.53,direct,,2018-04-09
320,1523318400,6922.84,6676.72,6789.53,62035.53,424510977.27,6871.07,direct,,2018-04-10
321,1523404800,6999.37,6839.16,6871.07,64802.3,450141340.22,6977.13,direct,,2018-04-11
322,1523491200,8051.95,6791.33,6977.04,197276.82,1490759969.77,7927.73,direct,,2018-04-12
323,1523577600,8237.16,7758.8,7927.73,145665.26,1171435820.59,7899.11,direct,,2018-04-13
324,1523664000,8195.34,7841.19,7898.74,66678.63,537286381.88,8022.51,direct,,2018-04-14
325,1523750400,8437.03,8021.04,8022.51,68822.07,570527804.56,8376.73,direct,,2018-04-15
326,1523836800,8430.93,7929.24,8376.73,87681.75,713471956.84,8079.77,direct,,2018-04-16
327,1523923200,8187.6,7858.12,8079.77,71933.6,580880500.84,7921.63,direct,,2018-04-17
328,1524009600,8246.57,7908.92,7921.65,73050.12,593500791.64,8189.96,direct,,2018-04-18
329,1524096000,8321.01,8136.42,8189.92,72820.98,602099034.89,8301.82,direct,,2018-04-19
330,1524182400,8945.14,8243.49,8301.82,114730.74,979994921.45,8877.08,direct,,2018-04-20
331,1524268800,9047.82,8631.18,8877.15,93635.24,829073400.66,8935.72,direct,,2018-04-21
332,1524355200,9043.98,8788.44,8935.85,68212.83,610183093.43,8823.36,direct,,2018-04-22
333,1524441600,9025.73,8804.2,8823.46,61895.95,553892335.42,8968.25,direct,,2018-04-23
334,1524528000,9741.91,8957.68,8967.86,136352.05,1276464750.74,9655.77,direct,,2018-04-24
335,1524614400,9765.23,8757.06,9657.69,192797.41,1779806222.98,8873.62,direct,,2018-04-25
336,1524700800,9315.13,8669.38,8873.57,111690.32,997427934.62,9282.12,direct,,2018-04-26
337,1524787200,9385.87,8923.48,9289.01,82025.4,758182407.35,8938.47,direct,,2018-04-27
338,1524873600,9435.9,8892.52,8938.47,83347.1,774111704.68,9351.47,direct,,2018-04-28
339,1524960000,9552.67,9189.07,9349.94,68227.03,640931911.37,9407.04,direct,,2018-04-29
340,1525046400,9459.81,9133.6,9407.35,61631.36,574099218.21,9248.45,direct,,2018-04-30
341,1525132800,9251.66,8851.1,9248.25,74147.8,669555436.99,9077.28,direct,,2018-05-01
342,1525219200,9271.62,8993.82,9077.28,57618.44,527488395.49,9232.19,direct,,2018-05-02
343,1525305600,9817.19,9172.28,9232.19,90631.98,857646889.15,9745.04,direct,,2018-05-03
344,1525392000,9785.15,9547.21,9746.26,68689.75,663887678.35,9699.61,direct,,2018-05-04
345,1525478400,9968.85,9687.09,9700.37,68875.75,679872376.4,9845.9,direct,,2018-05-05
346,1525564800,9936.96,9441.93,9846.44,62904.49,608650204.19,9644.92,direct,,2018-05-06
347,1525651200,9662.23,9202.13,9643.99,73842.44,692580062.51,9377.81,direct,,2018-05-07
348,1525737600,9472.09,9063.07,9377.08,72659.12,673924125.29,9196.13,direct,,2018-05-08
349,1525824000,9373.46,8987.27,9196.13,67939.11,625495066.08,9321.16,direct,,2018-05-09
350,1525910400,9393.95,9017.13,9321.52,67915.99,629850604.12,9032.22,direct,,2018-05-10
351,1525996800,9032.27,8363.5,9032.22,134727.27,1176888629.2,8421.0,direct,,2018-05-11
352,1526083200,8653.8,8225.97,8420.82,92805.87,783972252.35,8486.67,direct,,2018-05-12
353,1526169600,8773.96,8350.91,8488.07,61066.94,525395861.86,8709.46,direct,,2018-05-13
354,1526256000,8883.0,8312.72,8709.46,101370.46,874543293.99,8672.9,direct,,2018-05-14
355,1526342400,8848.69,8441.25,8672.88,84517.8,730739738.9,8480.16,direct,,2018-05-15
356,1526428800,8501.65,8119.17,8480.16,95203.5,789660713.22,8344.78,direct,,2018-05-16
357,1526515200,8476.45,8015.77,8342.69,74445.77,615539512.71,8071.04,direct,,2018-05-17
358,1526601600,8280.45,7940.35,8071.04,68665.67,558167598.76,8247.91,direct,,2018-05-18
359,1526688000,8397.27,8160.8,8247.91,45978.21,381458405.45,8249.24,direct,,2018-05-19
360,1526774400,8591.45,8181.46,8249.24,49694.23,418898289.02,8533.0,direct,,2018-05-20
361,1526860800,8585.85,8347.88,8533.22,54602.79,463653636.91,8419.65,direct,,2018-05-21
362,1526947200,8428.6,7962.43,8419.67,66032.52,543342369.36,7992.75,direct,,2018-05-22
363,1527033600,8031.63,7460.66,7992.75,120597.47,934151146.29,7505.77,direct,,2018-05-23
364,1527120000,7729.48,7283.77,7505.77,109709.83,826278113.25,7584.74,direct,,2018-05-24
365,1527206400,7652.37,7347.96,7584.78,84630.56,634474356.99,7475.36,direct,,2018-05-25
366,1527292800,7626.69,7314.71,7475.36,48994.09,368322782.27,7355.06,direct,,2018-05-26
367,1527379200,7420.07,7256.67,7355.06,46446.45,341348321.23,7362.23,direct,,2018-05-27
368,1527465600,7455.55,7092.91,7362.23,72505.5,526854342.95,7118.88,direct,,2018-05-28
369,1527552000,7533.03,7069.01,7118.88,86536.7,634849312.09,7474.75,direct,,2018-05-29
370,1527638400,7571.08,7295.78,7474.75,67797.62,505870974.98,7393.02,direct,,2018-05-30
