,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
767,1561939200,296.25,282.38,290.55,2999260.81,882191267.14,294.14,multiply,BTC,2019-07-01
768,1562025600,306.78,288.02,294.14,2799184.46,816238425.59,291.6,multiply,BTC,2019-07-02
769,1562112000,322.31,301.94,291.6,2711953.93,819487944.53,302.18,multiply,BTC,2019-07-03
770,1562198400,285.27,277.35,302.18,2279751.32,645008552.75,282.93,multiply,BTC,2019-07-04
771,1562284800,290.33,276.81,282.93,2373874.37,683730773.75,288.02,multiply,BTC,2019-07-05
772,1562371200,294.83,285.05,288.02,2072399.95,596794948.95,287.97,multiply,BTC,2019-07-06
773,1562457600,310.49,293.4,287.97,1928737.3,591115586.49,306.48,multiply,BTC,2019-07-07
774,1562544000,331.01,310.6,306.48,2214926.34,693677708.29,313.18,multiply,BTC,2019-07-08
775,1562630400,320.08,306.51,313.18,2845152.84,876714871.61,308.14,multiply,BTC,2019-07-09
776,1562716800,296.79,278.52,308.14,3724564.02,1075676415.5,288.81,multiply,BTC,2019-07-10
777,1562803200,274.84,261.69,288.81,3115104.38,836379516.15,268.49,multiply,BTC,2019-07-11
778,1562889600,283.84,273.82,268.49,2573134.0,708817593.57,275.47,multiply,BTC,2019-07-12
779,1562976000,276.37,264.44,275.47,2212539.02,595140184.21,268.99,multiply,BTC,2019-07-13
780,1563062400,245.62,225.11,268.99,3941740.01,893355743.41,226.64,multiply,BTC,2019-07-14
781,1563148800,241.31,224.82,226.64,4047278.66,923511961.6,228.18,multiply,BTC,2019-07-15
782,1563235200,201.66,190.92,228.18,3819409.66,758710891.32,198.65,multiply,BTC,2019-07-16
783,1563321600,216.42,203.43,198.65,3457315.92,730793851.92,211.38,multiply,BTC,2019-07-17
784,1563408000,237.98,223.72,211.38,4163229.42,940274400.8,225.85,multiply,BTC,2019-07-18
785,1563494400,223.82,219.3,225.85,3382912.4,748628600.16,221.3,multiply,BTC,2019-07-19
786,1563580800,235.2,226.06,221.3,3437372.01,786282585.77,228.75,multiply,BTC,2019-07-20
787,1563667200,226.66,222.53,228.75,3182833.04,717382099.64,225.39,multiply,BTC,2019-07-21
788,1563753600,220.77,215.29,225.39,2812671.28,610780136.13,217.15,multiply,BTC,2019-07-22
789,1563840000,212.95,206.64,217.15,2956925.28,626466682.83,211.86,multiply,BTC,2019-07-23
790,1563926400,219.38,204.82,211.86,2910890.74,630355201.49,216.55,multiply,BTC,2019-07-24
791,1564012800,220.77,216.72,216.55,2187389.53,479242769.15,219.09,multiply,BTC,2019-07-25
792,1564099200,220.29,216.74,219.09,1974001.81,432903949.44,219.3,multiply,BTC,2019-07-26
793,1564185600,211.27,205.21,219.3,2173632.79,450368183.01,207.2,multiply,BTC,2019-07-27
794,1564272000,212.37,206.55,207.2,1817422.14,383709983.77,211.13,multiply,BTC,2019-07-28
795,1564358400,211.62,208.3,211.13,1876983.05,395787604.65,210.86,multiply,BTC,2019-07-29
796,1564444800,213.12,209.18,210.86,2258182.15,474538660.45,210.14,multiply,BTC,2019-07-30
797,1564531200,222.77,216.52,210.14,2589393.02,566129476.53,218.63,multiply,BTC,2019-07-31
798,1564617600,225.58,216.11,218.63,2108178.67,458665072.26,217.56,multiply,BTC,2019-08-01
799,1564704000,222.58,216.69,217.56,2145075.83,467067767.0,217.74,multiply,BTC,2019-08-02
